País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Ecuador,,¿A que se debio la dolarización en Ecuador?,"Se debió a una crisis económica que estallo en el país a finales de los años 90 por la crisis bancaria, la alta inflación y devaluación de la moneda de aquel momento (Sucre), crisis fiscal, impactos de factores externos que causaron estragos y la pérdida total de confianza en la política monetaria.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Explica porque Ecuador dejo el sucre como moneda primaria,"La dolarización en Ecuador se dio en gran parte como una solución extrema a los graves problemas macroeconómicos que el país experimentaba, principalmente la (casi) hiperinflación y la devaluación de su moneda, el sucre, que pasó a tener un valor de 25,000 sucres por 1 dólar estadounidense. Al adoptar el dólar, se esperaba eliminar el riesgo cambiario, lo que a su vez se esperaba que redujera las tasas de interés y estimulara tanto el endeudamiento como la inversión.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es una wawa?,"En el lenguaje Kichwa ""wawa"" significa niño o niña",Ecuador,1,Universidad Nacional de Loja,Universidad Nacional de Loja,Universidad / IES,Universidad pública
Ecuador,,Cuáles son las provincias del Ecuador?,"Claro, las provincias del Ecuador son Carchi, Azuay, Cañar, Imbabura, Pichincha, Chimborazo, Bolivar, Tungurahua, Loja, Sucumbios, Orellana, Napo, Pastaza, Morona Santiago, Zamora Chinchipe, Esmeraldas, Manabi, Santo Domingo de los Tsachilas, Guayas, Santa Elena, El Oro, Los Rios y Galápagos",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuales son las culturas ancestrales del Ecuador),"Las culturas ancestrales del Ecuador son:
-Valdivia
-Manteña
-Cañari",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Consideras importante la asesoría contable y tributaria para emprendedores?,"í, la asesoría contable y tributaria es fundamental para un emprendedor, no solo para cumplir con la ley y evitar sanciones, sino como una herramienta estratégica clave para la toma de decisiones, la planificación financiera, la optimización de recursos y asegurar la sostenibilidad y crecimiento del negocio, evitando fracasos comunes por mala gestión. ",Ecuador,1,Exacto EGL,Exacto EGL,Otra,Referencia a programa educativo o de capacitación
Ecuador,,Novedades del Manual Latam,Listo para aprender,Ecuador,0,,Independiente,Independiente,
Ecuador,,¿Cúal es el origen de la bebida Chicha de Jora y cual es su preparación?,"En orden especifico, ubicación geográfica, cómo fue su origen y la receta exacta",Ecuador,1,,Independiente,Independiente,
Ecuador,,¿Qué es el Maito y de dónde es?,"El Maito es un plato típico de la Amazonia Ecuatoriana, el cual puede ser de pescado,  aves, ranas, plátano o yuca. Envueltos en una hoja de bijao y cocinados directamente al fuego. Su nombre proviene del  quechua ""maitu"" el cual significa envuelto.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Significado de la palabra pana,Así es como se le dice a un amigo de mucha confianza,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Que significa la expresión achachay,"Expresa que una persona tiene mucho frío, la palabra es de origen Kichwa",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Por qué debería visitar el Museo Arqueológico y Centro Cultural de Orellana?,"El visitar el museo mejor conocido como MACCO en la provincia de Orellana, ciudad de El Coca. Te asegura el poder llevarte una experiencia gratificante sobre las culturas amazónicas en el Ecuador. Sus más de 400 objetos arqueológicos precolombinos te permitirán conocer el arte e historia de esta región a un nivel enriquecedor.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿ Porqué en Galápagos hay variedad de animales, cómo llegaron ahí?","En ecuador existe una variedad de animales, especialmente en ecuador....",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Que es una triada en teoría musical?,"Una triada es el tipo de acorde mas sencillo, formado únicamente por 3 notas (de ahi su nombre). Estas notas son la tónica, tercera (mayor o menor) y quinta (justa, disminuida o aumentada)",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Explica brevemente cómo contribuyen las relaciones bilaterales de Ecuador dentro de un proceso de globalización.,"Bueno, pues las relaciones bilaterales ayudan a que el Ecuador pueda abrir los mercados e internacionalizarse, fortaleciendo varias áreas económicas del país, ya que estos vínculos generan un beneficio hacia la sociedad. Asimismo, estas nuevas redes de alianza permiten atraer innovación tecnológica y financiamiento que ayudan a impulsar el desarrollo y a estar más interconectados.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Por qué a la ciudad de Quito se le suele llamar ""Quito luz de América""?","Es porque Quito fue una de las primeras ciudades en dar el primer grito de guerra en contra de la opresión española en la que vivía toda Latinoamérica, y este siendo el referente para que poco a poco todos los demás países latinoamericanos de igual manera se levanten e independicen.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Cómo han influido las redes sociales como TikTok e Instagram en las tendencias de comida?,"Las redes sociales como TikTok e Instagram han tenido una gran influencia en las tendencias de comida entre los jóvenes, ya que permiten que recetas, retos gastronómicos y nuevos negocios se viralicen rápidamente. Muchos jóvenes descubren platos, postres o bebidas a través de videos cortos, lo que impulsa modas como el consumo de comida callejera “instagrameable”, postres creativos o fusiones de comida tradicional con estilos modernos.",Latam,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Dentro del contexto Ecuatoriano específicamente de la jerga Manaba, a qué hace referencia la frase ""quédate quedito""","La frase ""quédate quedito"" dentro de la jerga manabita significa que te mantengas en silencio dependiendo el contexto. Por ejemplo:
Si estás hablando cosas que no deberías entre compañeros se utiliza ""quédate quedito""",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Cuba,,Como es la educación en Cuba?,"En Cuba la educación es gratuita en todo el país, aparte de ser obligatoria. Se divide en enseñanza preescolar, primaria, secundaria y preuniversitaria (conocida también como bachillerato). Existe un alto nivel de alfabetización, siendo de las tasas más altas en toda América Latina. Su educación es reconocida internacionalmente, principalmente por la calidad de médicos y exportación de profesionales del área de salud y pedagogía.",Cuba,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Hablame brevemente acerca del monumento del Panecillo,"El Panecillo es un monumento bastante caracteristico ubicado en la capital de Ecuador, Quito. Sus origenes se remontan hasta antes de la epoca colonial, en la que edificaron ese monumento en un monte bastante alto para utilizarlo como punto de vigilancia o de observacion, el cual mas tarde fue utilizado en la lucha por la independencia. Tiempo despues, se construyo una Virgen Maria alli, la cual se mostraba con alas y pisando a una serpiente, como se indica en el escrito de la biblia, el apocalipsis. Este, ahora llamado Virgen del Panecillo, se convirtio en un simbolo turistico de la capital del Ecuador, asi como tambien en un simbolo religioso y tradicional, al estar ubicado en el Centro Historico, en la parte alta de la Iglesia de San Francisco.  ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es la Diablada de Pillaro y cuál es su significado cultural?,"La Diablada de Pillaro es una festividad tradicional, que se celebra en enero en el cantón Pillaro, provincia de Tungurahua Ecuador. Consiste en comparsas donde los participantes usan máscaras de diablos elaboradas artesanalmente y bailan por las calles a ritmo de bandas populares. Esta celebración tiene un carácter de resistencia cultural y expresión de identidad popular, surgida históricamente como una forma de protesta frente a la opresión social y religiosa. Hoy es considerada Patrimonio Cultural Inmaterial del Ecuador.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,(De una lista de items)Puedes ayudarme a armar mi maleta para un viaje a x lugar?,"La respuesta ideal debería tener información sobre el lugar como el clima y el tiempo, además debería contener recomendaciones como compras adicionales dependiendo del lugar (ej: repelente de mosquitos o protector solar). Deberia tener la descripción de como se desenvuelven las personas de ese lugar y finalmente sitios recomendados para visitar dentro de la zona si existen.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Por qué el cacao ecuatoriano se llama cacao arriba?,Porque el cacao fino de aroma se cultivaba río arriba del puerto de Guayaquil. No corresponde a ninguna variedad de cacao sino a la región de procedencia.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cómo se dice a un amigo cercano coloquialmente en la Sierra Ecuatoriana?,"En la Sierrra del Ecuador, se le dice mijo, siendo como una contracción de las palabras ""mi"" e ""hijo"", tratando de demostrar cercania y cariño con sus amigos, comúnmente utilizado por jóvenes. ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"En Ecuador, ¿a qué se refiere alguien cuando menciona ""acolitar"" o que quiere que lo ""acolite""?","En Ecuador, la palabra ""acolitar"" se utiliza en entornos informales como un verbo casi sinónimo de ""ayudar"", ""apoyar"" o incluso “acompañar“, pero reflejando un grado de confianza e informalidad un poco más acentuado, en la práctica cuando alguien menciona: ""Necesito que me acolites"" se podría traducir en la mayoría de los casos a: ""Necesito que me apoyes/ayudes"". Cuando la solicitud incluye un lugar estaría solicitando que la acompañes.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Quien fue el primer medallista olímpico del Ecuador?,"El primero medallista olímpico del Ecuador es Jefferson Pérez, en Atletismo (marcha), fue la primera para la región, el ahora cuenta con dos medallas olímpicas y el país con diez medallas olímpicas hasta el 2024",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Sabes la importancia del Spondylus en la cosmovision andina del Ecuador?,"El Spondylus era una moneda de cambio conocida en este ámbito como "" el oro rojo del mar"" y, a su vez era un símbolo de fertilidad, poder, prosperidad y conexión divina. Llegaba a ser más valorada que el oro por su color rojo.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Porqué las trenzas africanas en Esmeraldas representan resistencia?,"Representan resistencia ya que los pueblos afrodescendientes asentados en Esmeraldas usaban trenzas para poder transportar semillas, transmitir información entre comunidades y la más importante fué para poder hacer mapas con rutas de escape buscando la libertad en tiempos de esclavitud.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Leyenda popular sobre la contruccion de la iglesia de San Francisco,Cantuña-Un hombre indígena que vende su alma para completar la iglesia en un dia.,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Cúal es el Presidente que inició una fase de populismo en el Ecuador,José María Velasco Ibarra,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Como definirías a Ecuador?,"Ecuador es un país pluricultural y multietnico, está ubicado en la línea Ecuatorial y en el se encuentra el centro del mundo. Ecuador es un país compuesto por cuatro regiones, las cuales son Costa, Sierra, Oriente y Galápagos. Además, Ecuador es considerado uno de los países con mayor diversidad en cuanto especies y fue en sus originarias Islas Galápagos donde Charles Darwin planteó su famoso libro ""El origen de las especies"".",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cual es un juego de cartas caracteristico de Ecuador?,Cuarenta-Juego de cartas donde se busca juntar 40 puntos con distintos movimientos como la caída o la limpia.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Explícame brevemente que es él realismo mágico latinoamericano y cuales fueron sus precursores, además menciona tres libros característicos de este género literario qué se hayan escrito en Ecuador. ","El realismo mágico latinoamericano es una corriente literaria que fusiona lo real con lo fantástico, mostrando lo sobrenatural como parte natural de la vida cotidiana. A través de esta visión, los autores buscan reflejar la identidad y la cosmovisión de América Latina, donde lo mágico y espiritual conviven con la realidad social e histórica.
Los iniciadores del realismo mágico en el continente son: el venezolano Arturo Uslar Pietri con Las lanzas coloradas (1931), el guatemalteco Miguel Ángel Asturias con El señor presidente (escrita en 1933 y publicada en 1946), y el cubano Alejo Carpentier con El reino de este mundo (1949).

A continuación, te presento tres libros representativos de este género redactados por escritores ecuatorianos:

1. 'La Tigra' (1932) de José de la Cuadra
2. 'Don Goyo' (1933) de Demetrio Aguilera Malta 
3. 'Los Sangurimas' (1934) de José de la Cuadra
",Latam,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cual es la diferencia entre el Carnaval de Guaranda y el Carnaval de Ambato?,"Generalmente las fiestas de carnaval de Guaranda se las disfrutan mojándose y con un buen pájaro azul, por otro lado, el Carnaval de Ambato se lo festeja con desfiles, flores y sin el uso de agua.
Ambas celebraciones son increíbles a su manera.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Que significa arraray en Ecuador?,"La palabra ""arraray"" en Ecuador se refiere a cuando se siente un ardor o cuando algo te quema se usa coloquialmente en la parte de la sierra. ",Ecuador,1,Escuela Politecnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿En fiesta de Quito los chullas quiteños dan amorfinos a sus quiteñas bonitas?,Si!. Los chullas quiteños dentro de todos los programas en colegios y universidades donde celebran las fiestas de Quito preparan una frase de amor con rimas para decirle a su quiteña bonita.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es cultura ecuatoriana?,"La cultura ecuatoriana es el el conjunto de costume, tradiciones, creencias, idiomas, música, vestimenta y gastronomía que identifica a la cultura ecuatoriana ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Explica que es el encebollado y dime en qué país se consume,El encebollado es un platillo con mucha cebolla con pescado que se sirve principalmente en Ecuador,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
ECUADOR,,"Explica brevemente qué eran los ""Huasipungos""","Los Huasipungos eran pequeñas parcelas de tierra que los dueños de haciendas entregaban a los trabajadores a cambio de un trabajo forzado y no remunerado, permitiéndoles cultivar para subsistir, pero quedando atados a la tierra en un sistema de explotación.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Qué onda?,Todo fluye,Ecuador,0,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál fue la cultura de ceramistas más antigua del Ecuador?,"La cultura Valdivia (3500 a. C) es la cultura de ceramistas más antigua del Ecuador siendo la ""Venus de Valdivia"" su pieza más emblemática. Ocupaban gran parte del litoral, aproximadamente entre las provincias de Manabí y Santa Elena. Su economía se basaba en la pesca y agricultura, lo que trajo consigo la posesión de la tierra y la división social entre caciques, guerreros y chamanes. Un elemento importante para esta cultura fue la concha Spondylus ya que se utilizaba en rituales religiosos y era símbolo de la fertilidad.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Las patentes generan y aseguran el dominio de monopolios?,"Las patentes pese a asegurar el trabajo y esfuerzo, generan el control de mercado por parte de multinacionales, lo que provoca un control en la población.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Por qué a Quito se le conoce o se le llama como Luz de América?,"A Quito, capital del Ecuador, se le reconoce como ""Quito Luz de América"" para referirse a la revuelta quiteña, el Primer Grito de la Independencia en aquel 10 de Agosto de 1809, dado que fue el faro a la búsqueda de la libertad americana para el continente. ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Por qué el cielo es azul?,"Cuando esa luz entra a la atmósfera de la Tierra, choca con las moléculas del aire y hace que el cielo se vea azul",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Comida favorita de Ecuador,Ecebollado,Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Cuál es una de las sopas tradicionales Ecuatorianas?,"Una de las sopas ideales es el encebollado, característico por un color anaranjado y con pescado albacora, es una tradición que se come en todo el Ecuador.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cual fue el mejor presidente de todos los tiempos en Latinoamérica?,Nayib Bukele,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Actúa como un docente universitario de electrónica, se mi tutor y ayúdame en la explicación de temas de fundamentos que vienen en las guías de clases, dame respuestas claras y con explicación detallada, usando un lenguaje estándar. ","Claro, seré tu tutor y te ayudaré con respuestas clases y precisas que complementen tus áreas de conocimiento en la materia de electrónica.
Ayudame con las guías de clase para poder comenzar a estudiar. ",Latam,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Cuál es un dulce típico de la Sierra?,Espumilla,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Quién es Charlie Kirk?,"Charlie Kirk (14 de octubre de 1993 – 10 de septiembre de 2025) fue un influyente activista político y empresario estadounidense de derecha, conocido por ser el cofundador de la organización estudiantil conservadora Turning Point",Latam,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Cuales son los ingredientes que se usan en la preparación del bollo de pescado?,"Los ingredientes usados en el bollo de pescado son: verde, albacora, mani, tomate, cebolla, pimiento, ajo, hierbita, hojas de platano ",Ecuador,1,Escuela Politecnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Cuál es el origen prehispánico de la bebida tradicional 'colada morada' y cual era su objetivo en los pueblos indígenas?,"El origen de la colada morada se remonta a la cosmovisión de los pueblos quichuas (como la cultura Quitu-Cara), quienes celebraban el Aya Marcay Quilla (mes de cargar a los muertos). Originalmente, no era solo una bebida festiva, sino un rito de comunicación: se creía que la sangre de la tierra (representada por el color morado del maíz y las frutas) nutría a los ancestros. Los indígenas desenterraban a sus muertos para 'compartir' con ellos la bebida y alimentos, manteniendo vivo el vínculo entre el mundo de los vivos y el de los espíritus. Con la llegada de los españoles, este rito se sincretizó con el Día de los Fieles Difuntos, transformando las figuras de barro que se enterraban en las actuales 'guaguas de pan.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Explica brevemente que es el Carnaval en Ecuador,"Es una fiesta popular cultural que se celebra entre los meses de Febrero y Marzo. Se caracteriza por juegos con agua, espuma, pintura y harina, asimismo con desfiles donde se pueden exhibir danzas tradicionales o representaciones culturales. Surge de la mezcla entre rituales indígenas que celebraban la fertilidad de la tierra y las cosechas. Es una celebración de alegría, identidad cultural y convivencia.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es el nixtamal y por qué es fundamental en la cocina mexicana?,"El nixtamal es el grano de maíz que ha sido cocido en agua con cal. Este proceso, llamado nixtamalización, es fundamental porque suaviza el grano, facilita la remoción de la cáscara y aumenta significativamente el valor nutricional del maíz al liberar precursores de la niacina. Es la base indispensable para elaborar la masa de tortillas, tamales y otros alimentos básicos de la región.",México,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"Explica que significa la palabra ""chuchaqui"".",Chuchaqui es un término de origen quichua (chuchak-kiy) que se utiliza para describir el malestar físico que se siente al día siguiente de haber ingerido alcohol en exceso tambien conocido como resaca.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Menciona una de las causas principales por la cual toma fuerza el partido ecuatoriano Alianza País,"Existen diferentes causas para la legitimación de este partido político; sin embargo, una de las principales razones en la crisis política que vivió el país desde 1996 hasta 2006, periodo en el cual el estado ecuatoriano fue gobernado por un total de 7 presidentes. Demostrando una notable inestabilidad política, atribuida a la crisis económica de 1999 y a la mala administración de antiguos gobernantes.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,En que lugar se come el encebollado y va con cebolla o sin cebolla?,"El encebollado es un plato típico de Ecuador que se come principalmente en la costa de Ecuador y el encebollado se come típicamente con cebolla hay personas que lo comen sin cebolla, pero es mal visto.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Que caracteriza a la cultura del Yasuní en Ecuador?,Es un área biodiversa llena de diferentes especies caracterizada por su lucha por la preservación de la fauna y la flora en contra de la extracción petrolera.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
